trip_id,pickup_datetime,passenger_count,trip_distance,fare_amount,payment_type,dropoff_datetime
TRIP100256,2022-01-24 10:00:00,1,2.28,11.75,Card,2022-01-24 11:00:00
TRIP100257,2022-01-15 19:54:00,2,0.06,22.55,Cash,2022-01-15 20:14:00
TRIP100258,2022-01-25 08:50:00,1,0.71,23.01,Cash,2022-01-25 09:29:00
TRIP100259,2022-01-10 01:20:00,1,2.26,38.72,Cash,2022-01-10 02:05:00
TRIP100260,2022-01-01 13:39:00,2,1.47,38.03,Cash,2022-01-01 14:31:00
TRIP100261,2022-01-26 13:50:00,5,0.23,11.49,Card,2022-01-26 14:30:00
TRIP100262,2022-01-30 07:47:00,2,5.97,36.5,Card,2022-01-30 08:21:00
TRIP100263,2022-01-04 14:03:00,4,0.49,18.19,Card,2022-01-04 14:52:00
TRIP100264,2022-01-28 16:48:00,2,0.89,3.67,Card,2022-01-28 17:00:00
TRIP100265,2022-01-22 19:07:00,2,0.07,14.13,Cash,2022-01-22 20:02:00
TRIP100266,2022-01-12 16:01:00,6,0.69,18.73,Card,2022-01-12 16:59:00
TRIP100267,2022-01-05 12:16:00,2,0.41,36.13,Card,2022-01-05 13:15:00
TRIP100268,2022-01-23 17:01:00,1,1.24,10.05,Card,2022-01-23 17:40:00
TRIP100269,2022-01-15 19:35:00,5,0.1,8.5,Cash,2022-01-15 20:01:00
TRIP100270,2022-01-15 08:13:00,1,0.57,12.87,Card,2022-01-15 08:49:00
TRIP100271,2022-01-14 01:40:00,5,11.99,45.54,Card,2022-01-14 02:18:00
TRIP100272,2022-01-15 11:08:00,5,2.04,49.31,Cash,2022-01-15 12:07:00
TRIP100273,2022-01-10 16:04:00,1,1.08,38.07,Cash,2022-01-10 16:11:00
TRIP100274,2022-01-08 12:21:00,1,1.15,27.85,Card,2022-01-08 12:32:00
TRIP100275,2022-01-09 08:27:00,3,1.11,14.06,Cash,2022-01-09 08:56:00
TRIP100276,2022-01-30 12:31:00,1,1.01,6.11,Card,2022-01-30 12:48:00
TRIP100277,2022-01-12 03:04:00,3,3.69,8.98,Card,2022-01-12 03:55:00
TRIP100278,2022-01-17 20:54:00,6,1.27,31.93,Card,2022-01-17 21:20:00
TRIP100279,2022-01-15 12:34:00,1,0.95,42.25,Cash,2022-01-15 13:20:00
TRIP100280,2022-01-21 22:59:00,1,3.67,28.24,Card,2022-01-21 23:06:00
TRIP100281,2022-01-21 00:43:00,3,1.25,3.12,Cash,2022-01-21 01:06:00
TRIP100282,2022-01-26 05:39:00,6,0.9,33.37,Card,2022-01-26 06:03:00
TRIP100283,2022-01-09 01:43:00,3,0.94,13.75,Card,2022-01-09 02:42:00
TRIP100284,2022-01-11 18:57:00,4,0.63,4.46,Card,2022-01-11 19:43:00
TRIP100285,2022-01-02 10:38:00,1,7.43,47.55,Card,2022-01-02 10:57:00
TRIP100286,2022-01-28 08:05:00,2,12.82,29.34,Cash,2022-01-28 08:21:00
TRIP100287,2022-01-20 08:42:00,2,2.78,21.66,Card,2022-01-20 09:11:00
TRIP100288,2022-01-04 04:16:00,1,3.73,4.67,Cash,2022-01-04 04:31:00
TRIP100289,2022-01-17 00:56:00,4,0.15,12.41,Cash,2022-01-17 01:55:00
TRIP100290,2022-01-22 04:49:00,3,2.4,7.09,Card,2022-01-22 05:36:00
TRIP100291,2022-01-01 08:12:00,4,2.5,31.59,Card,2022-01-01 08:56:00
TRIP100292,2022-01-07 02:17:00,2,4.02,43.28,Card,2022-01-07 02:51:00
TRIP100293,2022-01-07 09:28:00,1,1.57,42.41,Cash,2022-01-07 10:14:00
TRIP100294,2022-01-09 22:53:00,6,0.25,7.79,Card,2022-01-09 23:09:00
TRIP100295,2022-01-12 02:22:00,1,13.3,21.5,Card,2022-01-12 03:13:00
TRIP100296,2022-01-27 18:22:00,1,1.91,49.99,Cash,2022-01-27 19:19:00
TRIP100297,2022-01-25 23:08:00,1,0.52,43.54,Card,2022-01-25 23:42:00
TRIP100298,2022-01-07 19:59:00,4,0.74,18.84,Card,2022-01-07 20:05:00
